Words, Words Counted
finde,111
recien,170
tenés,56
unos,76
toda,101
buen,625
protos,37
menos,628
amigos,42
boluda,217
gente,658
amigoo,39
viste,104
boludo,157
vamos,340
mili,253
nacho,15
dotto,41
encima,44
estamos,38
paso,263
drive,19
buena,322
gracias,336
quien,305
facu,119
tampoco,188
vida,382
comer,240
ademas,112
estuvo,49
literal,299
bases,98
ejercicios,50
despues,290
logica,79
nunca,583
clave,64
semana,209
viejo,59
dijeron,35
estudiar,53
mierda,449
sale,365
ella,22
tarde,311
vieja,43
estuve,35
mensaje,131
entiendo,375
genial,37
habia,206
colgue,67
juan,326
parte,41
resumen,33
okok,42
cuatri,155
dale,1021
itba,177
después,314
poco,22
sino,319
metodos,53
dijo,501
onda,2102
llego,39
vemos,130
list,35
alegro,36
dije,154
tranca,159
donde,260
alguien,449
joda,162
tmbn,50
claroo,45
guia,38
ahre,662
final,754
bolu,68
discreta,35
full,62
tenemos,12
idea,678
ayer,194
clase,496
otro,647
tambien,435
tano,37
termino,56
amiga,44
otra,395
tienen,175
juego,166
amigo,618
ejercicio,37
claro,1181
luli,18
horacio,33
falta,15
juro,45
lindo,38
sabes,195
seguro,173
entonces,500
casa,534
tipo,2519
dios,460
buenisimo,15
haciendo,62
practica,23
hice,284
laburo,71
mejor,627
casi,44
cómo,74
decir,283
nosotros,14
decis,13
pagina,16
joaco,377
años,173
obvio,105
ufff,27
index,35
avisen,134
hora,138
clases,151
queres,443
tanto,34
guias,58
gorda,22
dormir,43
lunes,36
haces,35
antes,484
hasta,630
necesito,41
tenia,42
agus,193
pense,92
viendo,157
pedo,98
tiempo,589
cada,213
noche,63
también,240
está,518
mail,35
agodio,14
parcial,651
grupo,339
dice,449
odio,52
hago,115
cosa,316
rindo,47
ojala,50
teoria,22
sabado,34
suerte,110
posta,708
jugar,185
libro,19
venis,36
ahii,39
real,47
tata,431
perfecto,14
todas,14
avisame,97
pregunta,26
bieen,224
osea,405
todavia,17
dalee,68
andas,215
siii,166
acuerdo,149
piola,20
nadie,164
cuenta,133
queria,13
contas,46
medio,404
tranqui,366
ganas,289
nose,478
perdon,49
viernes,74
parece,717
estar,212
proba,233
tema,203
serie,234
materia,356